AGNO;RBD;DGV_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_ENSE;COD_GRADO;MRUN;PROM_NOTAS_ALU;ORIGEN;ENSE_COMPLETA;MARCA_EGRESO
2021;24332;0;12;MAG;124;12401;NATALES;121;MAGALLANES;363;4;7293863;6,4;RENDIMIENTO;0;0
2021;26062;0;13;RM;131;13130;SAN MIGUEL;131;SANTIAGO CENTRO;363;2;22567844;6,8;RENDIMIENTO;1;0
2021;20443;0;5;VALPO;55;5502;CALERA;51;QUILLOTA;363;2;9879275;5,4;RENDIMIENTO;1;0
2021;1996;0;5;VALPO;51;5102;CASABLANCA;53;VALPARAÍSO;363;2;1943610;4,4;RENDIMIENTO;0;0
2021;20411;0;10;LAGOS;103;10301;OSORNO;103;OSORNO;363;2;19438354;6,3;RENDIMIENTO;1;0
2021;25543;0;13;RM;136;13604;PADRE HURTADO;135;TALAGANTE;363;4;12147547;6,6;RENDIMIENTO;1;1
2021;14454;0;5;VALPO;57;5701;SAN FELIPE;52;LOS ANDES;363;4;6968192;6,3;RENDIMIENTO;1;1
2021;17654;0;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;363;4;23830313;6,5;RENDIMIENTO;1;1
2021;22317;0;14;RIOS;141;14107;PAILLACO;141;VALDIVIA;363;4;13293803;5,3;RENDIMIENTO;0;0
2021;20047;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;363;4;20472029;5;RENDIMIENTO;0;0
2021;12870;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;363;4;12286708;6,3;RENDIMIENTO;1;1
2021;20395;0;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;363;4;11383128;6,4;RENDIMIENTO;1;1
2021;5002;0;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;363;4;24603976;6,6;RENDIMIENTO;0;0
2021;1710;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;363;4;16519892;6,5;RENDIMIENTO;1;1
2021;8379;0;11;AYSEN;112;11201;AYSÉN;111;COYHAIQUE;363;2;17386191;6;RENDIMIENTO;1;0
2021;40160;0;5;VALPO;58;5802;LIMACHE;51;QUILLOTA;363;2;16968484;5,3;RENDIMIENTO;0;0
2021;20012;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;363;4;8424219;6,6;RENDIMIENTO;0;0
2021;22633;0;14;RIOS;141;14101;VALDIVIA;141;VALDIVIA;563;2;15035622;4,6;RENDIMIENTO;0;0
2021;11706;0;8;BBIO;81;8108;SAN PEDRO DE LA PAZ;83;CONCEPCIÓN;363;2;4961270;6,5;RENDIMIENTO;1;0
2021;40338;0;5;VALPO;57;5706;SANTA MARÍA;52;LOS ANDES;363;2;16754943;6,4;RENDIMIENTO;1;0
2021;10746;0;13;RM;136;13605;PEÑAFLOR;135;TALAGANTE;363;4;23573956;6,5;RENDIMIENTO;1;1
2021;8432;0;12;MAG;121;12101;PUNTA ARENAS;121;MAGALLANES;363;2;24400752;6,8;RENDIMIENTO;0;0
2021;40160;0;5;VALPO;58;5802;LIMACHE;51;QUILLOTA;363;4;19528162;6,8;RENDIMIENTO;1;1
2021;16892;0;12;MAG;121;12101;PUNTA ARENAS;121;MAGALLANES;363;2;6265678;6,3;RENDIMIENTO;1;0
2021;20001;0;9;ARAUC;91;9112;PADRE LAS CASAS;93;CAUTÍN SUR;363;2;24224544;6,1;RENDIMIENTO;1;0
2021;40288;0;10;LAGOS;103;10301;OSORNO;103;OSORNO;363;4;7336371;5,2;RENDIMIENTO;1;1
2021;7236;0;14;RIOS;142;14204;RÍO BUENO;142;RANCO;363;2;10339125;6,3;RENDIMIENTO;0;0
2021;124;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;2;25060202;5,4;RENDIMIENTO;0;0
2021;15535;0;6;LGBO;61;6115;RENGO;61;CACHAPOAL;363;4;15431909;5,9;RENDIMIENTO;1;1
2021;17810;0;8;BBIO;82;8203;CAÑETE;84;ARAUCO;363;4;13931839;6,9;RENDIMIENTO;0;0
2021;52;0;15;AYP;151;15101;ARICA;151;ARICA;310;2;25064206;6,4;RENDIMIENTO;0;0
2021;8639;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;2;25025186;6,3;RENDIMIENTO;0;0
2021;12332;0;5;VALPO;51;5103;CONCÓN;53;VALPARAÍSO;610;4;25024350;5,5;RENDIMIENTO;0;0
2021;40289;0;5;VALPO;56;5601;SAN ANTONIO;54;SAN ANTONIO;310;2;25029991;6,2;RENDIMIENTO;0;0
2021;10075;0;13;RM;131;13103;CERRO NAVIA;134;SANTIAGO PONIENTE;310;2;25025687;6,1;RENDIMIENTO;0;0
2021;11155;4;4;COQ;41;4101;LA SERENA;41;ELQUI;510;2;25028549;5,1;SIGE;1;0
2021;3110;0;7;MAULE;71;7105;MAULE;72;TALCA;310;4;25032234;6,3;RENDIMIENTO;1;1
2021;335;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;1;25059209;5,3;RENDIMIENTO;0;0
2021;12836;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;610;3;25041544;5,5;RENDIMIENTO;0;0
2021;3110;0;7;MAULE;71;7105;MAULE;72;TALCA;310;3;25038588;6,1;RENDIMIENTO;1;0
2021;12602;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;310;1;25035610;6,7;RENDIMIENTO;0;0
2021;12602;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;310;1;25034781;6,8;RENDIMIENTO;0;0
2021;97;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;410;3;25038590;6;RENDIMIENTO;1;0
2021;10901;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;1;25035128;6,2;RENDIMIENTO;0;0
2021;20245;0;9;ARAUC;91;9107;GORBEA;93;CAUTÍN SUR;363;4;6372667;6,8;RENDIMIENTO;1;1
2021;12868;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;3;25060230;6,6;RENDIMIENTO;0;0
2021;133;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;2;25035311;5;RENDIMIENTO;0;0
2021;20443;0;5;VALPO;55;5502;CALERA;51;QUILLOTA;363;4;19841487;4,9;RENDIMIENTO;1;1
2021;8611;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;2;25055547;5;RENDIMIENTO;0;0
2021;9061;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;310;1;25056409;5,9;RENDIMIENTO;0;0
2021;12505;0;15;AYP;151;15101;ARICA;151;ARICA;363;4;5089896;4,2;RENDIMIENTO;0;0
2021;10911;0;15;AYP;151;15101;ARICA;151;ARICA;510;4;25054249;4,7;RENDIMIENTO;0;0
2021;12836;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;610;2;25064299;5,8;RENDIMIENTO;0;0
2021;10313;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;1;25046554;5,1;RENDIMIENTO;0;0
2021;392;0;3;ATCMA;32;3202;DIEGO DE ALMAGRO;31;COPIAPÓ;310;1;25045518;6,5;RENDIMIENTO;0;0
2021;367;0;2;ANTOF;21;2102;MEJILLONES;21;ANTOFAGASTA - TOCOPILLA;310;1;25046802;5,8;RENDIMIENTO;0;0
2021;12658;0;15;AYP;151;15101;ARICA;151;ARICA;710;4;25046424;6;RENDIMIENTO;0;0
2021;12658;6;15;AYP;151;15101;ARICA;151;ARICA;710;2;25051101;5,4;SIGE;1;0
2021;12658;0;15;AYP;151;15101;ARICA;151;ARICA;710;4;25048555;5,9;RENDIMIENTO;0;0
2021;10352;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;1;25047140;5,1;RENDIMIENTO;0;0
2021;283;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;610;1;25049021;5,6;RENDIMIENTO;0;0
2021;20261;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;363;2;17142004;6,4;RENDIMIENTO;0;0
2021;9074;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;310;1;25053457;5,2;RENDIMIENTO;0;0
2021;5002;0;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;363;4;11643475;6;RENDIMIENTO;1;1
2021;12747;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;310;1;25066217;5,5;RENDIMIENTO;0;0
2021;10313;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;1;25069779;6;RENDIMIENTO;0;0
2021;8644;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;310;1;25072356;5,9;RENDIMIENTO;0;0
2021;12610;0;15;AYP;151;15101;ARICA;151;ARICA;410;3;25074228;5,1;RENDIMIENTO;0;0
2021;25050;0;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;510;1;25073628;4,5;RENDIMIENTO;0;0
2021;10911;0;15;AYP;151;15101;ARICA;151;ARICA;610;1;25072235;5;RENDIMIENTO;0;0
2021;10696;0;13;RM;136;13601;TALAGANTE;135;TALAGANTE;363;4;14762472;4,2;RENDIMIENTO;1;1
2021;10845;0;13;RM;135;13503;CURACAVÍ;135;TALAGANTE;310;1;25069433;6,5;RENDIMIENTO;0;0
2021;10397;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;510;3;25072217;5,7;RENDIMIENTO;0;0
2021;124;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;510;3;25069960;6,2;RENDIMIENTO;1;0
2021;12602;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;310;2;25072559;6,3;SIGE;1;0
2021;284;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;3;25070544;5,9;RENDIMIENTO;0;0
2021;7;0;15;AYP;151;15101;ARICA;151;ARICA;410;3;25072572;5,5;RENDIMIENTO;1;0
2021;280;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;410;1;25078476;5,9;RENDIMIENTO;0;0
2021;125;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;2;25078559;6,3;RENDIMIENTO;0;0
2021;107;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;1;25077881;5,1;RENDIMIENTO;0;0
2021;12650;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;510;3;25079533;5;RENDIMIENTO;1;0
2021;399;0;3;ATCMA;31;3101;COPIAPÓ;31;COPIAPÓ;510;1;25079446;4,7;RENDIMIENTO;0;0
2021;9082;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;310;2;25083155;6,7;RENDIMIENTO;0;0
2021;10396;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;2;25082726;5;RENDIMIENTO;0;0
2021;13394;0;4;COQ;42;4204;SALAMANCA;43;CHOAPA;310;2;25084706;6,7;RENDIMIENTO;0;0
2021;97;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;410;1;25094888;5,9;RENDIMIENTO;0;0
2021;218;6;2;ANTOF;22;2201;CALAMA;22;EL LOA;310;2;25093508;4,6;SIGE;1;0
2021;124;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;510;4;25096379;6,2;RENDIMIENTO;0;0
2021;12602;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;310;1;25091173;5,9;RENDIMIENTO;0;0
2021;12716;0;15;AYP;151;15101;ARICA;151;ARICA;310;1;25094479;4,6;RENDIMIENTO;0;0
2021;279;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;563;4;25091460;5;RENDIMIENTO;1;1
2021;8497;0;13;RM;131;13108;INDEPENDENCIA;137;SANTIAGO NORTE;310;3;25097415;4,5;RENDIMIENTO;0;0
2021;40414;0;5;VALPO;56;5605;EL TABO;54;SAN ANTONIO;363;4;23867375;6;RENDIMIENTO;1;1
2021;97;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;410;1;25092368;5;RENDIMIENTO;0;0
2021;280;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;410;1;25095956;5,1;RENDIMIENTO;0;0
2021;25330;0;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;310;3;25096506;6;RENDIMIENTO;0;0
2021;219;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;510;4;25096427;5,5;RENDIMIENTO;1;1
2021;10023;0;13;RM;131;13126;QUINTA NORMAL;134;SANTIAGO PONIENTE;310;4;25090452;6,5;RENDIMIENTO;1;1
2021;286;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;3;25093913;5,5;RENDIMIENTO;0;0
2021;40422;0;1;TPCA;11;1107;ALTO HOSPICIO;11;IQUIQUE;310;1;25090293;5,7;RENDIMIENTO;0;0
2021;8930;0;13;RM;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;310;3;25473874;5,9;RENDIMIENTO;1;0
2021;11871;0;13;RM;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;310;3;25473766;6,8;RENDIMIENTO;0;0
2021;26157;0;13;RM;133;13302;LAMPA;137;SANTIAGO NORTE;310;1;25473689;6,1;RENDIMIENTO;0;0
2021;2104;0;6;LGBO;61;6101;RANCAGUA;61;CACHAPOAL;310;1;25473164;4,7;RENDIMIENTO;0;0
2021;1036;0;4;COQ;42;4204;SALAMANCA;43;CHOAPA;310;2;25474732;5,3;RENDIMIENTO;0;0
2021;108;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;510;1;25475006;4,6;RENDIMIENTO;0;0
2021;16467;0;7;MAULE;71;7101;TALCA;72;TALCA;310;1;25474136;5,4;RENDIMIENTO;0;0
2021;8643;0;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;410;3;25474328;5,2;RENDIMIENTO;0;0
2021;10405;0;13;RM;133;13301;COLINA;137;SANTIAGO NORTE;310;2;25474421;4,4;RENDIMIENTO;0;0
2021;26303;0;13;RM;131;13103;CERRO NAVIA;134;SANTIAGO PONIENTE;310;2;25474520;6,2;RENDIMIENTO;0;0
2021;10076;0;13;RM;131;13117;LO PRADO;134;SANTIAGO PONIENTE;410;4;25474986;4,9;RENDIMIENTO;1;1
2021;284;4;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;310;2;25476495;6,5;SIGE;1;0
2021;10396;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;2;25474167;5,2;RENDIMIENTO;0;0
2021;106;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;510;4;25479222;5,7;RENDIMIENTO;0;0
2021;10604;0;13;RM;131;13105;EL BOSQUE;132;SANTIAGO SUR;310;1;25497768;6,9;RENDIMIENTO;0;0
2021;78;7;15;AYP;152;15201;PUTRE;151;ARICA;710;2;25489866;5,1;SIGE;1;0
2021;103;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;1;25486859;5,9;RENDIMIENTO;0;0
2021;9472;0;13;RM;131;13130;SAN MIGUEL;131;SANTIAGO CENTRO;310;1;25501317;4,5;RENDIMIENTO;0;0
2021;1884;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;410;3;25494514;5,8;RENDIMIENTO;0;0
2021;124;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;1;25488811;5,6;RENDIMIENTO;0;0
2021;20478;0;2;ANTOF;22;2201;CALAMA;22;EL LOA;310;1;25489817;4,9;RENDIMIENTO;0;0
2021;9106;0;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;410;3;25500562;4,4;RENDIMIENTO;0;0
2021;9781;0;13;RM;131;13109;LA CISTERNA;132;SANTIAGO SUR;310;2;25503350;6,4;RENDIMIENTO;0;0
2021;2109;0;6;LGBO;61;6101;RANCAGUA;61;CACHAPOAL;310;4;25485886;4,8;RENDIMIENTO;1;1
2021;10023;0;13;RM;131;13126;QUINTA NORMAL;134;SANTIAGO PONIENTE;310;1;25498817;6,6;RENDIMIENTO;0;0
2021;12242;0;13;RM;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;310;2;25492685;5;RENDIMIENTO;0;0
2021;9071;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;310;2;25500747;5,7;RENDIMIENTO;0;0
2021;9646;0;13;RM;131;13131;SAN RAMÓN;132;SANTIAGO SUR;310;4;25496582;5,2;RENDIMIENTO;1;1
2021;283;0;2;ANTOF;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;610;4;25494492;6,1;RENDIMIENTO;1;1
2021;270;0;2;ANTOF;22;2203;SAN PEDRO DE ATACAMA;22;EL LOA;310;2;25485527;6,4;RENDIMIENTO;0;0
2021;10313;0;13;RM;131;13127;RECOLETA;137;SANTIAGO NORTE;310;1;25489567;4,7;RENDIMIENTO;0;0
2021;988;0;4;COQ;42;4201;ILLAPEL;43;CHOAPA;610;3;25498841;4,8;RENDIMIENTO;0;0
2021;10783;0;13;RM;135;13501;MELIPILLA;135;TALAGANTE;310;3;25499220;4,9;RENDIMIENTO;0;0
2021;9695;0;13;RM;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;310;1;25496513;5,5;RENDIMIENTO;0;0
2021;97;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;410;1;25485514;5,7;RENDIMIENTO;0;0
2021;125;0;1;TPCA;11;1101;IQUIQUE;11;IQUIQUE;310;3;25496190;5,1;RENDIMIENTO;0;0
2021;1453;0;5;VALPO;55;5503;HIJUELAS;51;QUILLOTA;310;2;25487168;6,1;RENDIMIENTO;0;0
